353,Ashni,Girl,A Flash Of Light
354,Ashok,Boy,One Without Sorrow
355,Ashray,Boy,Shelter
356,Ashumu,Boy,
357,Ashutosh,Boy,"One Who Becomes Happy Easily, Shiva"
358,Ashvath,Boy,Strong
359,Ashvin,Boy,A Cavalier
360,Ashwath,Boy,A Tree
361,Ashwathama,Boy,Ever Living
362,Ashwatthama,Boy,Fiery Tempered
363,Ashwin,Boy,A Star
364,Ashwini,Girl,A Star
365,Asija,Boy,"Great Sage, Brother Of Brihaspati"
366,Asita,Girl,The River Yamuna
367,Askha,Boy,More Liberal
368,Asmee,Girl,Self-Confident
369,Asmita,Girl,Pride
370,Astha,Girl,Faith
371,Asuman,Boy,Lord Of Vital Breaths
372,Asvathama,Boy,Sun Of Drona
373,Aswad,Boy,Islamic Name (Black Stone) In Moka
374,Atal,Boy,"Stable, Unavoidable"
375,Ateet,Boy,Past
376,Athalia,Girl,God is exalted
377,Atharvan,Boy,Knower Of The Arthara Vedas
378,Athervan,Boy,One Of The Four Vedas
379,Athithya,Boy,Sun
380,Athulya,Boy,"Unequaled, Unrivaled, Immeasurable, Unique"
381,Atiksh,Boy,Wise
382,Atin,Boy,The Great One
383,Atmajyoti,Boy,Light Of Soul ( Atma)
384,Atman,Boy,The Self
385,Atreyi,Girl,A River
386,Atul,Boy,Matchless
387,Atulya,Boy,"Unweighable, Incomparable"
388,Aushi,Girl,Long Lived
389,Avalok,Boy,One Who Beholds
390,Avani,Girl,Eath
391,Avanika,Girl,Earth
392,Avanindra,Boy,King Of The Earth
393,Avanish,Boy,God Of The Earth
394,Avanti,Girl,City Of Ujjain
395,Avantika,Girl,The Princess Of Ujjain
396,Avichal,Boy,Unmovable
397,Avika,Girl,"Sun Rays, Charismatic Personality"
398,Avinash,Boy,Indestructible
399,Aviraj,Boy,To Shine As Bright As The Sun
400,Aviral,Boy,One Who Never Stops
401,Avish,Boy,Ocean
402,Avishi,Girl,"Earth, River"
403,Avkash,Boy,Leisure
404,Avneesh,Boy,God Of Earth
405,Avnendra,Boy,Angel Of God On Earth
406,Avnita,Girl,The Earth
407,Avnitha,Girl,The earth
408,Ayesha,Girl,Daughter Of The Prophet
409,Ayukta,Girl,Surya Or Sun
410,Ayush,Boy,Age; Duration Of Life
411,Azmin,Girl,A Star
412,Baani,Girl,Earth
413,Babala,Boy,Above
414,Babul,Boy,Hindu Boy
415,Badal,Boy,Cloud
416,Badhra,Girl,Full moon
417,Badri prasad,Boy,Gift Of Badri
418,Badrinath,Boy,"Lord Of Mount Badri, Vishnu"
419,Badriya,Girl,Resembling Full Moon
420,Bagyawathi,Girl,Lucky
421,Bahula,Girl,A Star
422,Baiju,Boy,"Sun ,source of energy"
423,Bairavi,Girl,"Goddess Durga, Melody (Raag)"
424,Bakula,Girl,Nagakeshar flower
425,Bala,Girl,Young Girl
426,Balaaditya,Boy,Rising Sun
427,Balachandra,Boy,Young Moon
428,Balaji,Boy,Name Of Lord Vishnu
429,Balakrishna,Boy,Young Lord Krishna
430,Balamani,Boy,Young Jewel
431,Balamohan,Boy,"One Who Is Good Looking, Attractive"
432,Balashankar,Boy,Young Lord Shiva
433,Balavan,Boy,Powerful
434,Baldev,Boy,"Godlike In Power, Balram"
435,Balendu,Boy,Young Moon
436,Bali,Boy,Mighty Warrior
437,Balraj,Boy,"Mighty, Powerful"
438,Balram,Boy,Lord Krishna's Brother
439,Balveer,Boy,Powerful ( Balbeer )
440,Balwan,Boy,Strong Person
441,Bandana,Girl,prayer
442,Bandhura,Girl,Exquisite
443,Baneet,Boy,Polite
444,Banhi,Girl,Fire
445,Banita,Girl,Woman
446,Bankim,Boy,Hindu Boy
447,Bankimchandra,Boy,Half Moon
448,Bansi,Boy,Flute
449,Bansilal,Boy,Lord Krishna
450,Bansuri,Girl,flute
451,Barindra,Boy,Ocean
452,Barkha,Girl,Rain
453,Baruna,Girl,wife of the Lord of the sea
454,Baruni,Girl,Goddess Durga
455,Basant,Boy,Season Of Spring
456,Basanti,Girl,Of Spring
457,Basdev,Boy,Fire
458,Bela,Girl,"Flowering Creeper, Sea Shore"
459,Bhaarati,Girl,Goddess of knowledge and education
460,Bhadirathi,Girl,The river Ganga
461,Bhadra,Girl,"Gentle,Blessed"
462,Bhadrak,Boy,Handsome
463,Bhadrakapil,Boy,Lord Shiva
464,Bhadraksh,Boy,One With Beautiful Eyes
465,Bhadrashree,Boy,Sandalwood Tree
466,Bhadresh,Boy,Lord Shiva
467,Bhagat,Boy,Devotee
468,Bhagavathi,Girl,Goddess Durga
469,Bhagesh,Boy,Lord Of Richness
470,Bhagirath,Boy,One Who Brought Ganga On Earth
471,Bhagirathi,Girl,The Ganges
472,Bhagwant,Boy,God / Bhagwan
473,Bhagwanti,Girl,Lucky
474,Bhagyalakshmi,Girl,Goddess Of Wealth
475,Bhagyashree,Girl,Fortunate
476,Bhagyashri,Girl,"Goddess Lakshmi, Lucky"
477,Bhairav,Boy,"One With Frightening Voice, Lord Shiva"
478,Bhairavi,Girl,A Melody In Classical Music
479,Bhakti,Girl,Devotion
480,Bhamhaghosh,Boy,Chanting Or Recitation Of Vedas
481,Bhamhanand,Boy,Happiness For Knowledge
482,Bhamini,Girl,Beautiful
483,Bhandhavi Bhanu,Girl,"Sun,Fame"
484,Bhandhavya,Girl,Relationship
485,Bhanu,Boy,Sun
486,Bhanudas,Boy,Devotee Of The Sun
487,Bhanumathi,Girl,"Full of Lustre,Famous"
488,Bhanumitra,Boy,Friend Of Sun / Planet Mercury
489,Bhanuprakash,Boy,Sun Light
490,Bhanuprasad,Boy,Gift Of Sun
491,Bhanupriya,Girl,Beloved Of The Sun
492,Bharadwaj,Boy,"A Lucky Bird, Planet Mars"
493,Bharat,Boy,"India, Universal Monarch"
494,Bharati,Girl,"Goddess Saraswati, Speech"
495,Bhargav,Boy,Lord Shiva
496,Bhargavi,Girl,Goddess Durga
497,Bhartesh,Boy,King Of Bharat
498,Bhaskar,Boy,Sun
499,"Bhavana , Bhavna",Girl,"Feelings, Sentiments"
500,Bhavani,Girl,Goddess Durga
501,Bhavesh,Boy,"Lord Of The World, Lord Shiva"
502,Bhavik,Boy,God's Devotee
503,Bhavika,Girl,Cheerful Expression
504,Bhavini,Girl,Emotional
505,Bhavya,Girl,Goddess Parvati
506,Bhawanidas,Boy,Devotee Of Godess Durga
507,Bhilangana,Girl,A river
508,Bhim,Boy,Fearful
509,Bhishma,Boy,Hindu Boy
510,Bhisma,Boy,Dreadful; Terrible; Fear-Inducing; Forbidding
511,Bholanath,Boy,Lord Shiva
512,Bhooma,Girl,Globe; World
513,Bhoomika,Girl,The Earth
514,Bhoumik,Boy,Land Owner
515,Bhrigu,Boy,A Prajapati Hindu Boy
516,Bhudev,Boy,Lord Of Earthe
517,Bhumin,Boy,Son Of The Earth
518,Bhumindra,Boy,"King , Lord Of The Land"
519,Bhupal,Boy,King
520,Bhupati,Boy,King
521,Bhupen,Boy,King
522,Bhupendra,Boy,King
523,Bhupesh,Boy,King
524,Bhushan,Boy,Ornament
525,Bhuvan,Boy,"Palace, One Of The Three Worlds"
526,Bhuvan,Boy,Palace
527,Bhuvana,Girl,Goddess Of Earth
528,Bhuvanesh,Boy,Lord Of The Earth ( Bhuvaneshwar )
529,Bhuvanesh,Boy,Lord Vishnu
530,Bijal,Girl,Lightening
531,Bijli,Girl,Lightening
532,Bijoyanada,Boy,Sucess In Every Where
533,Bikram,Boy,Prowess
534,"Bindiya, Bindu",Girl,"Drop, Point"
535,Bindu,Girl,Point or Dot
536,Bindusar,Boy,An Excellent Pearl
537,Bipasha,Girl,"A River, Beas"
538,Bishakha,Girl,Star
539,Brinda,Girl,Tulsi
540,Bulbul,Girl,A Songbird
541,Byju,Boy,"Sun,Source of energy"
542,"Cauvery, Cavery",Girl,Name Of A River In India
543,Chaaya,Girl,Shadow
544,Chaitali,Girl,Born In The Chaitra Month
545,"Chaitali, Chaitalee",Girl,Girl Born In Month Of Chaitra
546,Chaitanya,Boy,"Knowledge , Life"
547,Chaitra,Girl,Aries sign
548,Chakradhar,Boy,"One Who Carries Chakra (Krishna, Vishnu)"
549,Chakrapani,Boy,Lord Vishnu
550,Chakshan,Boy,Hindu Boy
551,Chaman,Boy,A Garden
552,Chameli,Girl,Creeper With Sweet Scented Flower
553,Champa,Girl,Fragrant Flower
554,Champak,Boy,"Champa ( Flower ) , Pagoda ( Flower )"
555,Chanchal,Girl,Active
556,Chanda,Girl,Moon
557,Chandan,Boy,Sandalwood
558,Chandana,Girl,"Sandal wood, parrot"
559,"Chandani, Chandini",Girl,Moon- Light
560,Chandanika,Girl,Diminutive
561,Chandarmouli,Boy,Lord Shiva
562,Chander moon,Boy,Hindu Boy
563,Chandhini,Girl,Moon light
564,Chandika,Girl,Goddess Durga
565,Chandini,Girl,Moon light
566,Chandra,Girl,Moon
567,Chandrabhushan,Boy,Lord Shiva
568,Chandradatt,Boy,Gift From The Moon
569,Chandradhar,Boy,One Who Wears Moon I.E. Lord Shiva
570,Chandragupt,Boy,Hindu Boy
571,Chandrahaas,Boy,Smiling like a moon
572,Chandrahas,Boy,Bow Of Lord Shiva
573,Chandraj,Boy,Mercury Planet
574,Chandrak,Boy,"Peacock Feather, Moon"
575,Chandrakala,Girl,Phases Of The Moon
576,Chandrakant,Boy,"A Gem Related To Moon, Moon"
577,Chandrakanta,Girl,Wife Of The Moon
578,Chandrakiran,Boy,Moon Beam
579,Chandramouli,Boy,Moon As Crown; Lord Shiva
580,Chandranath,Boy,Moon
581,Chandrani,Girl,Wife of moon
582,Chandranshu,Boy,"Moon Ray, Lord Vishnu"
583,Chandraprabha,Girl,Brightness Of The Moon
584,Chandraprakash,Boy,One who has moon as a crest
585,Chandrasen,Boy,Hindu Boy
586,Chandrashekhar,Boy,One Who Holds Moon In His Hair Knot (Lord Shiva)
587,Chandraswaroopa,Girl,Like moon
588,Chandresh,Boy,Lord Of The Moon
589,Chandrima,Girl,Moonlight
590,Chapal,Boy,Hindu Boy
591,Charan,Boy,Feet
592,Charandas,Boy,Servant At The Feet Of Somebody
593,Charanjit,Boy,One Who Has Won Over The Lord ( Charanjeet )
594,Charita,Girl,Having A Good Character
595,Charitrya,Girl,Memoir
596,Charu,Girl,"Beautiful, Attractive, Kumkum, Saffron"
597,Charudutta,Boy,Born Of Beauty
598,Charulata,Girl,Beautiful Creeper
599,Charulekha,Girl,Beautiful
600,Charunetra,Girl,Born to rule with beautiful eyes
601,Charusmita,Girl,One With A Beautiful Smile
602,Charvi,Girl,Beautiful
603,Chaturanan,Boy,One With Four Heads I.E. Lord Bramha
604,Chaturvedi,Boy,One Who Knows All The 4 Vedas
605,Cheshta,Girl,To Try
606,Chetan,Boy,"Life, Living Creature"
607,Chetana,Girl,Consciousness
608,Chetas,Boy,"Mind, heart"
609,Chetna,Girl,Power Of Intellect
610,Chhailbehari,Boy,Lord Krishna
611,Chhavi,Girl,"Image, Radiance"
612,Chhaya,Girl,Shadow
613,Chidambar,Boy,One Whose Heart Is As Grand As The Sky
614,Chidambaram,Boy,Lord Siva's Temple
615,Chidanand,Boy,Lord Bramha
616,Chidhatma,Boy,Big Soul
617,Chinar,Boy,Name Of A Beautiful Tree
618,Chinmay,Boy,"Full Of Knowledge, Happiness"
619,Chintamani,Boy,"Philosopher's Stone, A Wishing Stone ( Gem )"
620,Chintan,Boy,Thought
621,Chintana,Girl,meditation
622,Chintanika,Girl,meditation
623,Chintav,Boy,Hindu Boy
624,Chintu,Boy,Hindu Boy
625,Chirag,Boy,Lamp
626,"Chiranjeet, Chirayu",Boy,Immortal
627,Chiranjeev,Boy,"Long Lived, Immortal"
628,Chirayu,Boy,Long Lived One
629,Chitra,Girl,Picture
630,Chitradevi,Girl,Goddess Saraswathi
631,Chitragupta,Boy,Lord Yama's Helper Who Is Records All Deeds
632,Chitraksh,Boy,Happiness
633,Chitralekha,Girl,As beautiful as a picture
634,Chittaranjan,Boy,One Who Pleases The Mind
635,Chittaswarup,Boy,The Supreme Spirit
636,Chittesh,Boy,Ruler Of Mind
637,Chrirag,Boy,Hindu Boy
638,Chudamani,Boy,"The Best, Crest Jewel"
639,Chunmay,Boy,Supreme Consciousness
640,Dahana,Boy,A Rudra
641,Daksh,Boy,Precious Son
642,Daksha,Girl,The Earth
643,Dakshata,Girl,Skill
644,Dakshesh,Boy,Lord Shiva
645,Dakshi,Girl,The Glorious
646,Dakshin,Boy,South Direction
647,Daljeet,Boy,The conqueror of forces
648,Daman,Boy,Rope; Girdle
649,Damayanti,Girl,Nala's Wife
650,Damini,Girl,Lightning
651,Damodar,Boy,Lord Krishna
652,Daniel,Boy,God Is My Judge
653,Darpan,Girl,Mirror
654,Darpana,Girl,Mirror
655,Darpita,Girl,Proud
656,Darsha,Girl,To See
657,Darshan,Boy,A God's Name
658,Darshini,Girl,Gift of God ; Blessed Girl
659,Darshit,Boy,To pay respect
660,Daruka,Boy,Deodar Tree
661,Dasharath,Boy,"One With 10 Chariots, Lord Ram's Father"
662,Datta,Boy,Given; Granted; Presented
663,Dattatreya,Boy,"Son Of Atri, An Incarnation Of Lord Vishnu"
664,Daulat,Boy,Wealth
665,Daya,Boy,Mercy
666,Daya,Girl,"Kindness, Mercy"
667,Dayamayee,Girl,kind ; Thoughtful
668,Dayanand,Boy,One Who Likes Being Merciful Or Kind
669,Dayanidhi,Boy,Kind Person
670,Dayanita,Girl,Tender
671,Dayasagar,Boy,"Extremely Kind, Sea Of Mercy"
672,Dayaswarup,Boy,Merciful
673,Deekshaa,Girl,
674,Deenbabdhu,Boy,Brother ( Or Helper) Of Poor People
675,Deendayal,Boy,One Who Has Mercy On The Downtrodden Or Poor
676,Deepa,Girl,Lamp
677,Deepak,Boy,"Lamp, Kindle"
678,Deepali,Girl,Collection Of Lamps
679,Deepanath,Boy,God of light
680,Deepankar,Boy,One Who Lights Lamps
681,Deepashikha,Girl,The Flame Of A Lamp
682,Deepdas,Boy,Servant Of Ligh
683,Deependra,Boy,Lord Of Light
684,Deependu,Boy,Moon
685,Deepesh,Boy,"Lord Of Light , Sun"
686,Deepika,Girl,"Little Light, A Raagini Used In Indian Music"
